Czas;Zrodlo;Stan;Czas powrotu;Odliczanie;Rewert;Tryb startu
2026-05-04 14:36:47;DEV;1;0;0;0;0
2026-05-04 14:36:36;DEV;0;0;0;0;0
2026-05-03 19:25:42;DEV;1;0;0;0;0
2026-05-03 19:25:41;DEV;0;0;0;0;0
2026-05-02 14:15:50;DEV;1;0;0;0;0
2026-05-02 14:15:17;DEV;0;0;0;0;0
2026-05-02 14:14:51;DEV;1;0;0;0;0
2026-05-02 14:14:48;DEV;0;0;0;0;0
2026-05-01 21:20:07;DEV;1;0;0;0;0
2026-05-01 20:42:20;DEV;0;0;0;0;0
2026-05-01 11:50:30;DEV;1;0;0;0;0
2026-05-01 11:47:53;DEV;0;0;0;0;0
2026-05-01 11:14:04;DEV;1;0;0;0;0
2026-05-01 11:13:59;DEV;0;0;0;0;0
2026-04-30 10:07:12;DEV;1;0;0;0;0
2026-04-30 09:37:26;DEV;0;0;0;0;0
2026-04-29 18:19:30;DEV;1;0;0;0;0
2026-04-29 17:57:21;DEV;0;0;0;0;0
2026-04-28 18:22:07;DEV;1;0;0;0;0
2026-04-28 18:22:01;DEV;0;0;0;0;0
2026-04-28 14:41:39;DEV;1;0;0;0;0
2026-04-28 14:41:34;DEV;0;0;0;0;0
2026-04-28 08:59:55;DEV;1;0;0;0;0
2026-04-28 08:54:52;DEV;0;0;0;0;0
2026-04-26 22:24:58;HK;0;0;0;0;0
2026-04-26 20:42:43;HK;1;0;0;0;0
2026-04-25 20:25:33;DEV;1;0;0;0;0
2026-04-25 20:02:42;DEV;0;0;0;0;0
2026-04-25 19:56:00;DEV;1;0;0;0;0
2026-04-25 19:53:52;DEV;0;0;0;0;0
2026-04-25 07:33:30;DEV;1;0;0;0;0
2026-04-25 07:25:53;DEV;0;0;0;0;0
2026-04-24 13:27:25;DEV;1;0;0;0;0
2026-04-24 13:20:20;DEV;0;0;0;0;0
2026-04-24 10:06:18;DEV;1;0;0;0;0
