Czas;Zrodlo;Stan;Czas powrotu;Odliczanie;Rewert;Tryb startu
2026-05-07 20:37:12;HK;0;10800;0;0;0
2026-05-07 20:09:35;HK;1;10800;10800;0;0
2026-04-30 20:17:38;HK;0;10800;0;0;0
2026-04-30 19:31:30;HK;1;10800;10800;0;0
2026-04-30 13:29:29;HK;0;10800;0;0;0
2026-04-30 11:53:47;HK;1;10800;10800;0;0
2026-04-29 19:20:05;HK;0;10800;0;0;0
2026-04-29 18:52:59;HK;1;10800;10800;0;0
2026-04-26 13:21:12;DEV;1;0;0;0;0
2026-04-26 10:00:41;HK;1;10800;10800;0;0
2026-04-25 18:12:36;HK;0;10800;0;0;0
2026-04-25 18:12:23;HK;1;10800;10800;0;0
2026-04-24 16:15:17;HK;0;10800;0;0;0
2026-04-24 12:58:52;HK;1;10800;10800;0;0
2026-04-24 12:58:51;HK;0;10800;0;0;0
2026-04-24 12:50:53;HK;1;10800;10800;0;0
2026-04-24 12:50:52;HK;0;10800;0;0;0
2026-04-24 12:50:50;HK;1;10800;10800;0;0
2026-04-24 12:50:49;HK;0;10800;0;0;0
2026-04-24 12:50:45;HK;1;10800;10800;0;0
2026-04-24 12:50:43;HK;0;10800;0;0;0
2026-04-24 12:50:39;HK;1;10800;10800;0;0
2026-04-24 12:50:37;HK;0;10800;0;0;0
2026-04-24 12:50:06;HK;1;10800;10800;0;0
2026-04-24 12:49:49;HK;0;10800;0;0;0
2026-04-24 12:42:13;HK;1;10800;10800;0;0
2026-04-24 12:42:11;HK;0;10800;0;0;0
2026-04-24 12:42:06;HK;1;10800;10800;0;0
2026-04-24 12:42:05;HK;0;10800;0;0;0
2026-04-24 12:34:21;HK;1;10800;10800;0;0
2026-04-22 16:42:53;HK;0;10800;0;0;0
2026-04-22 15:06:15;HK;1;10800;10800;0;0
2026-04-22 14:31:50;DEV;1;0;0;0;0
2026-04-22 11:42:06;DEV;0;0;9130;0;0
2026-04-22 11:41:33;DEV;0;0;0;0;0
2026-04-22 11:10:52;HK;1;10800;10800;0;0
2026-04-22 11:10:52;HK;0;10800;0;0;0
2026-04-22 11:10:50;HK;1;10800;10800;0;0
2026-04-21 18:43:00;HK;0;10800;0;0;0
2026-04-21 17:57:23;HK;1;10800;10800;0;0
2026-04-21 17:52:28;HK;0;10800;0;0;0
2026-04-21 17:24:53;HK;1;10800;10800;0;0
2026-04-21 17:01:29;HK;0;10800;0;0;0
2026-04-21 15:19:53;DEV;0;0;7140;0;0
2026-04-21 15:19:30;DEV;0;0;0;0;0
2026-04-21 15:18:41;HK;1;7200;7200;0;0
2026-04-21 09:46:19;HK;0;7200;0;0;0
2026-04-21 09:35:51;HK;1;7200;7200;0;0
2026-04-17 02:15:59;HK;0;0;0;0;0
2026-04-16 13:21:09;HK;1;0;0;0;0
2026-04-14 18:16:14;HK;0;0;0;0;0
2026-04-14 17:34:15;HK;1;0;0;0;0
2026-04-14 17:34:13;HK;0;0;0;0;0
2026-04-14 17:22:57;HK;1;0;0;0;0
2026-04-14 17:22:56;HK;0;0;0;0;0
2026-04-14 16:53:50;HK;1;0;0;0;0
2026-04-14 16:53:49;HK;0;0;0;0;0
2026-04-14 16:53:49;HK;1;0;0;0;0
2026-04-14 16:53:49;HK;0;0;0;0;0
2026-04-14 15:53:51;HK;1;0;0;0;0
2026-04-14 15:52:45;HK;0;0;0;0;0
2026-04-14 14:28:51;HK;1;0;0;0;0
2026-04-13 18:02:32;HK;0;0;0;0;0
2026-04-13 17:48:31;HK;1;0;0;0;0
2026-04-11 17:59:19;HK;0;0;0;0;0
2026-04-11 17:47:35;HK;1;0;0;0;0
2026-04-11 17:40:53;HK;0;0;0;0;0
2026-04-11 16:23:51;HK;1;0;0;0;0
2026-04-10 21:04:03;HK;0;0;0;0;0
2026-04-10 19:10:56;HK;1;0;0;0;0
2026-04-10 19:10:18;HK;0;0;0;0;0
2026-04-10 16:51:52;HK;1;0;0;0;0
2026-04-10 16:51:51;HK;0;0;0;0;0
2026-04-10 15:20:16;HK;1;0;0;0;0
2026-04-09 16:18:03;HK;0;0;0;0;0
2026-04-09 13:50:30;HK;1;0;0;0;0
2026-04-04 15:41:06;HK;0;0;0;0;0
2026-04-04 10:44:47;HK;1;0;0;0;0
2026-04-03 21:04:55;HK;0;0;0;0;0
2026-04-03 21:00:00;HK;1;3600;3600;0;0
2026-04-03 20:12:24;HK;0;3600;0;0;0
2026-04-03 20:04:48;HK;1;3600;3600;0;0
2026-04-01 09:47:22;HK;0;3600;0;0;0
2026-04-01 09:36:43;HK;1;3600;3600;0;0
2026-03-31 17:26:02;DEV;1;0;0;0;0
2026-03-31 16:19:01;HK;1;3600;3600;0;0
2026-03-30 11:56:55;HK;0;3600;0;0;0
2026-03-30 11:40:34;HK;1;3600;3600;0;0
2026-03-23 18:33:56;HK;0;0;0;0;0
2026-03-23 18:30:26;DEV;0;0;5050;0;0
2026-03-23 18:26:22;DEV;0;0;5270;0;0
2026-03-23 18:25:55;DEV;0;0;0;0;0
2026-03-21 08:34:43;HK;0;0;0;0;0
2026-03-21 08:24:12;HK;1;0;0;0;0
2026-03-21 07:53:14;HK;0;0;0;0;0
2026-03-21 07:40:46;HK;1;0;0;0;0
2026-03-19 20:32:40;HK;0;0;0;0;0
2026-03-19 20:25:30;HK;1;0;0;0;0
2026-03-19 20:13:57;HK;0;0;0;0;0
2026-03-19 20:02:49;HK;1;0;0;0;0
2026-03-16 14:30:52;HK;0;0;0;0;0
2026-03-16 14:19:59;HK;1;0;0;0;0
2026-03-15 18:51:37;HK;0;0;0;0;0
2026-03-15 18:38:30;HK;1;0;0;0;0
2026-03-11 18:55:59;HK;0;0;0;0;0
2026-03-11 18:44:24;HK;1;0;0;0;0
2026-03-11 18:44:18;HK;0;0;0;0;0
2026-03-11 18:44:17;HK;1;0;0;0;0
2026-03-11 18:44:17;HK;0;0;0;0;0
2026-03-11 18:44:16;HK;1;0;0;0;0
2026-03-11 18:44:14;HK;0;0;0;0;0
2026-03-11 18:44:10;HK;1;0;0;0;0
2026-03-11 18:44:04;HK;0;0;0;0;0
2026-03-11 18:44:03;HK;1;0;0;0;0
2026-03-11 18:44:02;HK;0;0;0;0;0
2026-03-11 18:43:38;HK;1;0;0;0;0
2026-03-11 18:43:37;HK;0;0;0;0;0
2026-03-11 18:43:27;HK;1;0;0;0;0
2026-03-11 17:29:01;HK;0;0;0;0;0
2026-03-11 17:02:37;HK;1;0;0;0;0
