Czas;Zrodlo;Stan;Jasnosc;Barwa [deg];Saturacja;CT [Mired];Tryb;Scena
2026-05-08 17:29:38;DEV;0;100;27;41;250;CCT;0
2026-05-08 15:06:59;DEV;0;100;27;41;135;CCT;0
2026-05-08 14:42:43;DEV;0;100;27;41;135;CCT;0
2026-05-08 14:20:01;DEV;0;100;27;41;135;CCT;0
2026-05-08 11:53:26;DEV;0;100;27;41;135;CCT;0
2026-05-08 08:44:44;DEV;0;100;27;41;135;CCT;0
2026-05-08 06:29:52;DEV;0;100;27;41;270;CCT;0
2026-05-08 05:12:51;DEV;1;100;27;41;270;CCT;0
2026-05-08 04:30:08;DEV;1;100;28;66;370;CCT;0
2026-05-08 04:30:03;HK;1;100;27;35;370;CCT;0
2026-05-07 21:19:38;DEV;0;100;27;35;370;CCT;0
2026-05-07 20:38:58;DEV;0;100;27;35;320;CCT;0
2026-05-07 20:36:49;HK;0;100;27;35;250;CCT;0
2026-05-07 20:33:59;DEV;1;100;27;35;250;CCT;0
2026-05-07 19:36:52;DEV;0;100;27;35;250;CCT;0
2026-05-07 18:55:33;DEV;0;100;27;35;250;CCT;0
2026-05-07 18:50:18;HK;1;100;27;35;250;CCT;0
2026-05-07 17:44:51;DEV;0;100;27;35;250;CCT;0
2026-05-07 17:29:41;DEV;1;100;27;35;250;CCT;0
2026-05-07 14:53:20;DEV;1;100;180;9;135;CCT;0
2026-05-07 14:16:40;HK;1;100;180;9;135;CCT;0
2026-05-07 13:38:31;HK;0;100;180;9;135;CCT;0
2026-05-07 13:37:59;HK;1;100;180;9;135;CCT;0
2026-05-07 13:37:55;HK;0;100;180;9;135;CCT;0
2026-05-07 13:37:04;DEV;1;100;180;9;135;CCT;0
2026-05-07 13:37:00;HK;1;100;27;35;135;CCT;0
2026-05-07 13:33:33;DEV;0;100;27;35;135;CCT;0
2026-05-07 11:42:22;DEV;0;100;27;35;135;CCT;0
2026-05-07 11:29:54;DEV;0;100;27;35;135;CCT;0
2026-05-07 10:38:07;DEV;0;100;27;35;135;CCT;0
2026-05-07 09:18:42;DEV;0;100;27;35;135;CCT;0
2026-05-07 09:06:02;DEV;0;100;27;35;135;CCT;0
2026-05-07 08:52:04;DEV;0;100;27;35;135;CCT;0
2026-05-07 08:52:04;DEV;0;100;27;35;370;CCT;0
2026-05-06 22:39:53;DEV;0;100;27;35;370;CCT;0
2026-05-06 22:11:58;DEV;0;100;27;35;370;CCT;0
2026-05-06 22:05:30;DEV;0;100;27;35;370;CCT;0
2026-05-06 21:55:48;DEV;0;100;27;35;370;CCT;0
2026-05-06 21:52:09;DEV;0;100;27;35;370;CCT;0
2026-05-06 21:37:28;DEV;0;100;27;35;370;CCT;0
2026-05-06 21:19:38;DEV;0;100;27;35;370;CCT;0
2026-05-06 21:07:22;DEV;0;100;27;35;320;CCT;0
2026-05-06 20:36:58;DEV;0;100;27;35;320;CCT;0
2026-05-06 20:36:41;MQTT;0;100;27;35;250;CCT;0
2026-05-06 20:31:58;DEV;1;100;27;35;250;CCT;0
2026-05-06 20:21:28;MQTT;0;100;27;35;250;CCT;0
2026-05-06 20:20:49;MQTT;1;100;27;35;250;CCT;0
2026-05-06 20:20:36;MQTT;0;100;27;35;250;CCT;0
2026-05-06 20:20:18;DEV;1;100;27;35;250;CCT;0
2026-05-06 20:20:13;MQTT;1;100;27;41;250;CCT;0
2026-05-06 20:18:17;DEV;0;100;27;41;250;CCT;0
2026-05-06 20:10:35;DEV;0;100;27;41;250;CCT;0
2026-05-06 17:30:01;DEV;0;100;27;41;250;CCT;0
2026-05-06 08:44:53;DEV;0;100;27;41;135;CCT;0
2026-05-06 06:29:54;DEV;0;100;27;41;270;CCT;0
2026-05-06 05:15:37;DEV;1;100;27;41;270;CCT;0
2026-05-06 04:30:00;DEV;1;100;28;66;370;CCT;0
2026-05-05 21:19:57;DEV;0;100;28;54;370;CCT;0
2026-05-05 21:03:43;HK;0;100;28;54;320;CCT;0
2026-05-05 21:03:17;HK;1;100;28;54;320;CCT;0
2026-05-05 21:00:41;HK;0;100;28;54;320;CCT;0
2026-05-05 20:58:16;HK;1;100;28;54;320;CCT;0
2026-05-05 20:56:41;HK;0;100;28;54;320;CCT;0
2026-05-05 20:54:54;DEV;1;100;28;54;320;CCT;0
2026-05-05 20:54:49;HK;1;100;27;35;320;CCT;0
2026-05-05 20:35:56;DEV;0;100;27;35;320;CCT;0
2026-05-05 17:29:36;DEV;0;100;27;35;250;CCT;0
2026-05-05 17:00:12;HK;0;100;27;35;249;CCT;0
2026-05-05 13:47:26;DEV;0;100;27;35;249;CCT;0
2026-05-05 12:17:03;HK;1;100;27;35;249;CCT;0
2026-05-05 11:55:27;DEV;0;100;27;35;249;CCT;0
2026-05-04 19:32:29;HK;0;100;27;35;249;CCT;0
2026-05-04 19:09:52;HK;1;100;27;35;249;CCT;0
2026-05-04 16:07:15;DEV;0;100;27;35;249;CCT;0
2026-05-04 14:38:02;HK;1;100;27;35;249;CCT;0
2026-05-04 11:35:29;DEV;0;100;27;35;249;CCT;0
2026-05-03 22:18:42;HK;0;100;27;35;249;CCT;0
2026-05-03 22:18:10;HK;1;100;27;35;249;CCT;0
2026-05-03 21:53:39;MQTT;0;100;27;35;249;CCT;0
2026-05-03 21:53:24;MQTT;1;100;27;35;249;CCT;0
2026-05-03 21:53:12;MQTT;0;100;27;35;249;CCT;0
2026-05-03 21:52:58;MQTT;1;100;27;35;249;CCT;0
2026-05-03 21:43:38;DEV;0;100;27;35;249;CCT;0
2026-05-03 21:25:31;DEV;0;100;27;35;249;CCT;0
2026-05-03 21:18:33;MQTT;0;100;27;35;249;CCT;0
2026-05-03 21:18:26;MQTT;1;100;27;35;249;CCT;0
2026-05-03 19:31:51;MQTT;0;100;27;35;249;CCT;0
2026-05-03 19:31:43;MQTT;1;100;27;35;249;CCT;0
2026-05-03 19:10:38;MQTT;0;100;27;35;249;CCT;0
2026-05-03 19:10:23;MQTT;1;100;27;35;249;CCT;0
2026-05-03 19:09:57;MQTT;0;100;27;35;249;CCT;0
2026-05-03 19:09:47;MQTT;1;100;27;35;249;CCT;0
2026-05-03 18:58:22;MQTT;0;100;27;35;249;CCT;0
2026-05-03 18:58:11;MQTT;1;100;27;35;249;CCT;0
2026-05-03 18:54:58;MQTT;0;100;27;35;249;CCT;0
2026-05-03 18:54:40;MQTT;1;100;27;35;249;CCT;0
2026-05-03 18:54:05;MQTT;0;100;27;35;249;CCT;0
2026-05-03 18:53:49;MQTT;1;100;27;35;249;CCT;0
2026-05-03 18:44:42;DEV;0;100;27;35;249;CCT;0
2026-05-03 18:41:37;MQTT;0;100;27;35;249;CCT;0
2026-05-03 18:41:24;MQTT;1;100;27;35;249;CCT;0
2026-05-03 18:39:50;HK;0;100;27;35;249;CCT;0
2026-05-03 18:39:29;DEV;1;100;27;35;249;CCT;0
2026-05-03 18:31:28;DEV;0;100;27;35;249;CCT;0
2026-05-03 14:04:15;MQTT;0;100;27;35;249;CCT;0
2026-05-03 14:04:04;MQTT;1;100;27;35;249;CCT;0
2026-05-03 12:51:28;HK;0;100;27;35;249;CCT;0
2026-05-03 12:25:52;HK;1;100;27;35;249;CCT;0
2026-05-03 12:14:41;HK;0;100;27;35;249;CCT;0
2026-05-03 12:10:03;DEV;1;100;27;35;249;CCT;0
2026-05-03 12:09:33;HK;1;100;27;35;249;CCT;0
2026-05-03 11:11:14;DEV;0;100;27;35;249;CCT;0
2026-05-03 07:15:24;HK;0;100;27;35;249;CCT;0
2026-05-03 07:14:45;HK;1;100;27;35;249;CCT;0
2026-05-03 07:14:28;HK;0;100;27;35;249;CCT;0
2026-05-03 07:10:30;HK;1;100;27;35;249;CCT;0
2026-05-02 16:28:05;HK;0;100;27;35;249;CCT;0
2026-05-02 16:27:58;HK;1;100;27;35;249;CCT;0
2026-05-02 14:50:10;HK;0;100;27;35;249;CCT;0
2026-05-02 14:19:07;HK;1;100;27;35;249;CCT;0
2026-05-02 13:34:40;DEV;0;100;27;35;249;CCT;0
2026-05-02 13:16:14;HK;0;100;27;35;249;CCT;0
2026-05-02 13:15:14;HK;1;100;27;35;249;CCT;0
2026-05-01 20:33:16;HK;0;100;27;35;249;CCT;0
2026-05-01 20:30:13;HK;1;100;27;35;249;CCT;0
2026-05-01 18:09:18;DEV;0;100;27;35;249;CCT;0
